
( 0.000000 ) 	 [9]
( 39.036663 ) 	 [6537]

( 39.036659 ) 	 [6553]

( 39.036659 ) 	 [6569]

( 39.036659 ) 	 [6585]

( 39.036663 ) 	 [6601]

( 39.036663 ) 	 [6617]

( 39.036678 ) 	 [6633]

( 39.037312 ) 	 [6649]

( 39.037323 ) 	 [6665]

( 39.037312 ) 	 [6681]

( 39.037312 ) 	 [6697]

( 39.037312 ) 	 [6713]

( 39.037312 ) 	 [6729]

( 39.037312 ) 	 [6745]

( 39.037312 ) 	 [6761]

( 39.037331 ) 	 [6777]

( 39.037968 ) 	 [6793]

( 39.037983 ) 	 [6809]

( 39.037968 ) 	 [6825]

( 39.037968 ) 	 [6841]

( 39.037968 ) 	 [6857]

( 39.037971 ) 	 [6873]

( 39.037968 ) 	 [6889]

( 39.037968 ) 	 [6905]

( 39.037971 ) 	 [6921]

( 39.037971 ) 	 [6937]

( 39.037968 ) 	 [6953]

( 39.037991 ) 	 [6969]

( 39.038620 ) 	 [6985]

( 39.038635 ) 	 [7001]

( 39.038624 ) 	 [7017]

( 39.038624 ) 	 [7033]

( 39.038624 ) 	 [7049]

( 39.038624 ) 	 [7065]

( 39.038624 ) 	 [7081]

( 39.038624 ) 	 [7097]

( 39.038643 ) 	 [7113]

( 40.039288 ) 	 [7129]

( 40.039288 ) 	 [7145]

( 40.039288 ) 	 [7161]

( 40.039288 ) 	 [7177]

( 40.039288 ) 	 [7193]

( 39.039082 ) 	 [7209]

( 39.039082 ) 	 [7225]

( 39.039082 ) 	 [7241]

( 39.039127 ) 	 [7257]

( 39.039131 ) 	 [7273]

( 39.039131 ) 	 [7289]

( 39.039276 ) 	 [7305]

( 39.039291 ) 	 [7321]

( 39.039276 ) 	 [7337]

( 39.039276 ) 	 [7353]

( 39.039276 ) 	 [7369]

( 39.039284 ) 	 [7385]

( 39.039284 ) 	 [7401]

( 39.039276 ) 	 [7417]

( 39.039276 ) 	 [7433]

( 39.039284 ) 	 [7449]

( 39.039276 ) 	 [7465]

( 39.039299 ) 	 [7481]

( 39.039932 ) 	 [7497]

( 39.039944 ) 	 [7513]

( 39.039932 ) 	 [7529]

( 39.039932 ) 	 [7545]

( 39.039932 ) 	 [7561]

( 39.039932 ) 	 [7577]

( 39.039932 ) 	 [7593]

( 39.039932 ) 	 [7609]

( 39.039951 ) 	 [7625]

( 39.040585 ) 	 [7641]

( 39.040604 ) 	 [7657]

( 39.040588 ) 	 [7673]

( 39.040588 ) 	 [7689]

( 39.040588 ) 	 [7705]

( 39.040592 ) 	 [7721]

( 39.040588 ) 	 [7737]

( 39.040592 ) 	 [7753]

( 39.040588 ) 	 [7769]

( 39.040588 ) 	 [7785]

( 39.040592 ) 	 [7801]

( 39.040611 ) 	 [7817]

( 40.041103 ) 	 [7833]

Latitud [-31.2645741 ]

( 40.041103 ) 	 [7849]

( 40.041103 ) 	 [7865]

( 40.041103 ) 	 [7881]

( 40.041103 ) 	 [7897]

( 39.041241 ) 	 [7913]

( 39.041252 ) 	 [7929]

( 39.041260 ) 	 [7945]

( 39.041241 ) 	 [7961]

( 39.041241 ) 	 [7977]

( 39.041241 ) 	 [7993]

( 39.041241 ) 	 [8009]

( 39.041241 ) 	 [8025]

( 39.041241 ) 	 [8041]

( 39.041897 ) 	 [8057]

( 39.041912 ) 	 [8073]

( 39.041897 ) 	 [8089]

( 39.041897 ) 	 [8105]

( 39.041897 ) 	 [8121]

( 39.041901 ) 	 [8137]

( 39.041897 ) 	 [8153]

( 39.041897 ) 	 [8169]

( 39.041901 ) 	 [8185]

( 39.041901 ) 	 [8201]

( 39.041897 ) 	 [8217]

( 39.041920 ) 	 [8233]

( 39.042549 ) 	 [8249]

( 39.042564 ) 	 [8265]

( 39.042553 ) 	 [8281]

( 39.042553 ) 	 [8297]

( 39.042553 ) 	 [8313]

( 39.042553 ) 	 [8329]

( 39.042553 ) 	 [8345]

( 39.042553 ) 	 [8361]

( 39.042568 ) 	 [8377]

( 39.043205 ) 	 [8393]

( 39.043221 ) 	 [8409]

( 39.043205 ) 	 [8425]

( 39.043205 ) 	 [8441]

( 39.043205 ) 	 [8457]

( 39.043213 ) 	 [8473]

( 39.043205 ) 	 [8489]

( 39.043213 ) 	 [8505]

( 39.043205 ) 	 [8521]

( 39.043213 ) 	 [8537]

( 39.043205 ) 	 [8553]

( 39.043228 ) 	 [8569]

( 39.043861 ) 	 [8585]

( 39.043873 ) 	 [8601]

( 39.043880 ) 	 [8617]

( 39.043861 ) 	 [8633]

( 39.043861 ) 	 [8649]

( 39.043861 ) 	 [8665]

( 39.043861 ) 	 [8681]

( 39.043861 ) 	 [8697]

( 39.043861 ) 	 [8713]

( 39.044514 ) 	 [8729]

( 39.044533 ) 	 [8745]

( 39.044518 ) 	 [8761]

( 39.044518 ) 	 [8777]

( 39.044518 ) 	 [8793]

( 39.044521 ) 	 [8809]

( 39.044518 ) 	 [8825]

( 39.044518 ) 	 [8841]

( 39.044521 ) 	 [8857]

( 39.044521 ) 	 [8873]

( 39.044518 ) 	 [8889]

( 39.044540 ) 	 [8905]

( 39.045170 ) 	 [8921]

( 39.045181 ) 	 [8937]

( 39.045189 ) 	 [8953]

( 39.045174 ) 	 [8969]

( 39.045174 ) 	 [8985]

( 39.045174 ) 	 [9001]

( 39.045174 ) 	 [9017]

( 39.045174 ) 	 [9033]

( 39.045174 ) 	 [9049]

( 39.045593 ) 	 [9065]

( 39.045639 ) 	 [9081]

( 39.045826 ) 	 [9097]

( 39.045841 ) 	 [9113]

( 39.045826 ) 	 [9129]

( 39.045826 ) 	 [9145]

( 39.045826 ) 	 [9161]

( 39.045826 ) 	 [9177]

( 39.045830 ) 	 [9193]

( 39.045826 ) 	 [9209]

( 39.045830 ) 	 [9225]

( 39.045830 ) 	 [9241]

( 39.045826 ) 	 [9257]

( 39.045849 ) 	 [9273]

( 39.046478 ) 	 [9289]

( 39.046494 ) 	 [9305]

( 39.046497 ) 	 [9321]

( 39.046482 ) 	 [9337]

( 39.046482 ) 	 [9353]

( 39.046482 ) 	 [9369]

( 39.046482 ) 	 [9385]

( 39.046482 ) 	 [9401]

( 39.046482 ) 	 [9417]

( 39.047134 ) 	 [9433]

( 39.047150 ) 	 [9449]

( 39.047134 ) 	 [9465]

( 39.047134 ) 	 [9481]

( 39.047134 ) 	 [9497]

( 39.047142 ) 	 [9513]

( 39.047142 ) 	 [9529]

( 39.047134 ) 	 [9545]

( 39.047134 ) 	 [9561]

( 39.047142 ) 	 [9577]

( 39.047134 ) 	 [9593]

( 39.047157 ) 	 [9609]

( 40.047665 ) 	 [9625]

Latitud [-31.2645626 ]

( 40.047665 ) 	 [9641]

( 40.047665 ) 	 [9657]

( 40.047665 ) 	 [9673]

( 40.047665 ) 	 [9689]

( 39.047791 ) 	 [9705]

( 39.047802 ) 	 [9721]

( 39.047810 ) 	 [9737]

( 39.047791 ) 	 [9753]

( 39.047791 ) 	 [9769]

( 39.047791 ) 	 [9785]

( 39.047791 ) 	 [9801]

( 39.047791 ) 	 [9817]

( 39.047791 ) 	 [9833]

( 39.048443 ) 	 [9849]

( 39.048458 ) 	 [9865]

( 39.048447 ) 	 [9881]

